% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 13:55
% Dimension:          1
% Nodes:              121
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
-0.3                      4.617098605137304E-9     4.473376276104402E-9     4.272596263861159E-9     2.925232820049272E-9     2.0400937454749627E-9    5.844080778130583E-10    3.083104751610767E-10    6.448085595830327E-11    3.242410165960547E-11    6.507426354083261E-12
-0.29                     1.1367383894914312E-9    1.146264604696715E-9     1.1502841473363098E-9    1.0498506215682214E-9    1.0763371615861244E-9    1.0836375793682158E-9    1.160781815167944E-9     9.815967891241015E-10    8.821410687727257E-10    3.99509448617984E-10
-0.27999999999999997      1.4002771522711559E-9    1.4005430292921589E-9    1.4002828372899655E-9    1.4125938137596676E-9    1.4103902122617753E-9    1.3789054612755113E-9    1.3574162562166007E-9    1.1719359609991961E-9    1.016116457898342E-9     4.726420983232496E-10
-0.27                     1.8938420984634314E-9    1.8923339072268928E-9    1.891405609252148E-9     1.8855627284255496E-9    1.8782335857985686E-9    1.845889829337758E-9     1.7899459705700524E-9    1.5278682995357613E-9    1.2826798464939874E-9    5.801407562573689E-10
-0.26                     2.7357942681903595E-9    2.735122667793256E-9     2.7342461786949146E-9    2.6934947759757657E-9    2.6847048675845954E-9    2.6231597073388384E-9    2.5465704681552868E-9    2.097123277529822E-9     1.724733254621428E-9     7.31920189530717E-10
-0.25                     3.962505380514555E-9     3.961342986238269E-9     3.9598209404348535E-9    3.971168546484574E-9     3.9561747581025305E-9    3.841959550172042E-9     3.7111443717622255E-9    2.915351778887387E-9     2.3356794923297926E-9    9.268343341227658E-10
-0.24                     6.046228757887779E-9     6.043767675576455E-9     5.99769403756926E-9      5.99466339191083E-9      5.965031238821202E-9     5.7435799615069386E-9    5.494979183763591E-9     4.149009308565583E-9     3.202845167574106E-9     1.1772052926667656E-9
-0.22999999999999998      9.024372076760736E-9     9.019871233734805E-9     9.03096629871065E-9      8.979636571265976E-9     8.924832484231117E-9     8.519435861422414E-9     8.072724770809055E-9     5.793689953825202E-9     4.327673503594341E-9     1.4859798985685086E-9
-0.21999999999999997      1.3362145677182368E-8    1.335402537518875E-8     1.3348649185510769E-8    1.3268518383451967E-8    1.3171170566227212E-8    1.2459547082116292E-8    1.1690058004735746E-8    7.976967496590058E-9     5.770876772221588E-9     1.8651912208919103E-9
-0.21                     1.9742063610963825E-8    1.972746748697717E-8     1.970896743709593E-8     1.9567697733190667E-8    1.9394446833011407E-8    1.81460032305985E-8      1.68280342124445E-8      1.086707625324113E-8     7.62978105494526E-9      2.332076822160044E-9
-0.2                      2.9144353799267147E-8    2.9118172458578812E-8    2.9086082109222016E-8    2.8831957960332818E-8    2.8524175534348135E-8    2.6342062392562533E-8    2.410204850424304E-8     1.4680468794813303E-8    1.0016659602654595E-8    2.9051121420435656E-9
-0.19                     4.300762745652906E-8     4.296071730908985E-8     4.290282722749197E-8     4.244894726178513E-8     4.190330534387272E-8     3.8106951320371186E-8    3.433443466323659E-8     1.966467159235986E-8     1.3025675364773553E-8    3.605975349392867E-9
-0.18                     6.344808537067446E-8     6.336410220469672E-8     6.326008471056772E-8     6.245138217208011E-8     6.148599046810624E-8     5.491500832581555E-8     4.86251901110115E-8      2.6117228288000134E-8    1.6811795306057144E-8    4.461733601349353E-9
-0.16999999999999998      9.357780481306165E-8     9.34275678273014E-8      9.324153408801196E-8     9.180332998321281E-8     9.0099222175409E-8       7.879319177548194E-8     6.842343921074776E-8     3.4396799859723015E-8    2.1548527350063032E-8    5.505492138620376E-9
-0.16                     1.3796787023063928E-7    1.376993627863912E-7     1.3736727147966257E-7    1.348146886552E-7        1.318149266684207E-7     1.1249582210909927E-7    9.561085895994208E-8     4.493321608267282E-8     2.7440862759554554E-8    6.781237833927584E-9
-0.15                     2.0529519417362135E-7    2.0283905050971772E-7    2.022472742804207E-7     1.9772724614016617E-7    1.9246466110676894E-7    1.5971626111583357E-7    1.3259436932392813E-7    5.8240507170034655E-8    3.4735901201812315E-8    8.330814717675153E-9
-0.13999999999999999      3.02798214011593E-7      3.0143062680790433E-7    3.0034270847727615E-7    2.895310003095216E-7     2.803377227682523E-7     2.2533340550486426E-7    1.824055604789674E-7     7.493316393306734E-8     4.373139481995404E-8     1.021562022051205E-8
-0.13                     4.4573193536747676E-7    4.43869033608572E-7      4.4193785129524624E-7    4.267336684084021E-7     4.102819996537879E-7     3.156861501079567E-7     2.488044488813549E-7     9.57462234607692E-8      5.4786600443577904E-8    1.2507944940942986E-8
