% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 14:09
% Dimension:          1
% Nodes:              241
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
-0.3                      3.4238818731948232E-9    3.375591905553552E-9     3.3081253585957028E-9    2.7276402715729407E-9    2.169150161388881E-9     7.851187152471639E-10    4.342570281310672E-10    9.477861043236672E-11    4.7930902859084936E-11   9.67077081102013E-12
-0.295                    5.120374755886152E-10    3.0242772012651447E-10   2.857732388161289E-10    2.3232256344619287E-10   2.8330136072511925E-10   2.0955497108122122E-10   3.2083747552970095E-10   4.2585370983912704E-10   2.385705417513815E-10    2.3550299859090257E-10
-0.29                     5.118683217691688E-10    5.229242718143351E-10    5.251494151032038E-10    5.310942508652919E-10    5.304160968252389E-10    5.609423124628633E-10    5.361408043194767E-10    4.855805426710627E-10    4.810190915819285E-10    2.9225862138482715E-10
-0.285                    5.504032059505875E-10    5.610775567946717E-10    5.612351117897912E-10    5.619881204179101E-10    5.570700412263213E-10    5.397600181473112E-10    5.38920452322257E-10     5.110644540235949E-10    4.753759095039572E-10    3.055786597927123E-10
-0.27999999999999997      6.324331587736321E-10    6.335001925797824E-10    6.332301612897901E-10    6.323159848278294E-10    6.308012083018909E-10    6.200294875933349E-10    6.171420513530817E-10    5.792567670480083E-10    5.330695860589083E-10    3.36500252102684E-10
-0.27499999999999997      7.448963828458861E-10    7.440375889744021E-10    7.438834856489358E-10    7.430251445962706E-10    7.424607963554016E-10    7.363609264387627E-10    7.289835271190153E-10    6.752946317595913E-10    6.191112906752723E-10    3.782947858774217E-10
-0.27                     9.047294489783141E-10    9.051213972969935E-10    9.050673879066892E-10    9.043180431754251E-10    9.030687501962702E-10    8.945955992278307E-10    8.833396927329671E-10    8.074874393235271E-10    7.329295943198854E-10    4.2852331209529465E-10
-0.265                    1.093417529664131E-9     1.0937627452694926E-9    1.0936285765143525E-9    1.0924572328751332E-9    1.0907224057578283E-9    1.0781219234237145E-9    1.0636817392673364E-9    9.634759894612812E-10    8.652910694929825E-10    4.874497090269335E-10
-0.26                     1.3180389593677857E-9    1.3177765255419771E-9    1.317551503793446E-9     1.3158457269336888E-9    1.3137921778472183E-9    1.2974770645498845E-9    1.2784752828069935E-9    1.1475083975284716E-9    1.020941941651558E-9     5.558269302593077E-10
-0.255                    1.5942353770617215E-9    1.5938819368576675E-9    1.5935998570289415E-9    1.5913608519058097E-9    1.588655995254931E-9     1.5673428644491435E-9    1.5417816962018047E-9    1.3693613464413167E-9    1.2067709102659074E-9    6.34462541413733E-10
-0.25                     1.931897390839776E-9     1.9316235557150304E-9    1.931259018373043E-9     1.9283011124966323E-9    1.924609734782459E-9     1.896034234585023E-9     1.8619626892541838E-9    1.6354003760821242E-9    1.4266472711101186E-9    7.264754069246116E-10
-0.245                    2.3418129521132024E-9    2.3414373932173875E-9    2.3409424696987636E-9    2.3369701123372943E-9    2.332026196064758E-9     2.2937987376428043E-9    2.2486303467512163E-9    1.952065536252814E-9     1.6848982358874744E-9    8.304169506015247E-10
-0.24                     2.840023361242618E-9     2.839462947176032E-9     2.8387952461161255E-9    2.83346760656458E-9      2.826878831869597E-9     2.7759652834345883E-9    2.7160240312571307E-9    2.328437256827498E-9     1.9877019889691266E-9    9.471784427186088E-10
-0.235                    3.448076159746016E-9     3.445376837813573E-9     3.4444837954259216E-9    3.4373586088684504E-9    3.42854868554202E-9      3.360722494209151E-9     3.281154805383231E-9     2.7752786779036305E-9    2.3420649185672467E-9    1.0788194687182565E-9
-0.22999999999999998      4.180962757469989E-9     4.184215738041272E-9     4.183018061951369E-9     4.171213963005915E-9     4.159428179653354E-9     4.069039068561474E-9     3.9635258961373215E-9    3.3045316258793063E-9    2.7555158476538696E-9    1.226972330918022E-9
-0.22499999999999998      5.073998854534183E-9     5.074503474373546E-9     5.072906344399343E-9     5.065250108171748E-9     5.049472772566563E-9     4.926348092341644E-9     4.786556462987878E-9     3.929904186305371E-9     3.236533700051379E-9     1.3931625618279017E-9
-0.21999999999999997      6.160144078486277E-9     6.15917913473366E-9      6.157040756237703E-9     6.142206458862901E-9     6.121213232969058E-9     5.96670993114176E-9      5.781373250537668E-9     4.667307013652089E-9     3.794749543150943E-9     1.5792615786723666E-9
-0.215                    7.479878903147503E-9     7.478219573107905E-9     7.475356494690424E-9     7.453530103100826E-9     7.425485486012495E-9     7.215332709771369E-9     6.971081229151647E-9     5.5367928725200695E-9    4.4409282710579944E-9    1.7873990962641467E-9
-0.21                     9.083318122622954E-9     9.080743213625294E-9     9.07691079614875E-9      9.047266142865226E-9     9.009801602021885E-9     8.727940818913061E-9     8.405306804709146E-9     6.553372535654415E-9     5.187025399989418E-9     2.0198468554142078E-9
-0.20500000000000002      1.1031268726126458E-8    1.1027546481705416E-8    1.1022416803148355E-8    1.0982343996196482E-8    1.0932312245071242E-8    1.0556984125327018E-8    1.0131072867119819E-8    7.744782868243983E-9     6.047646342114216E-9     2.2790702650169186E-9
-0.2                      1.339755785557951E-8     1.3392377150189681E-8    1.338551162155724E-8     1.333159316250603E-8     1.326479015677625E-8     1.2765541699448718E-8    1.2203972591855185E-8    9.137982557723025E-9     7.033955357568336E-9     2.5677929882061283E-9
-0.195                    1.6271844040815194E-8    1.626475134877138E-8     1.625556337655441E-8     1.6183233952664605E-8    1.6094057809037888E-8    1.543060665655264E-8     1.4691059236921592E-8    1.0762658485264835E-8    8.164392377711566E-9     2.8890136183407685E-9
-0.19                     1.9762974192469865E-8    1.9753350345281054E-8    1.974105543750576E-8     1.9644174517325074E-8    1.9525163197799432E-8    1.8644283611117108E-8    1.7671639048135716E-8    1.265254795558427E-8     9.45720519893619E-9      3.246020924771769E-9
-0.185                    2.4003062658681877E-8    2.3990072882292608E-8    2.3973622091692652E-8    2.3843977463163566E-8    2.3685194761086402E-8    2.2516584615168847E-8    2.1239229632841525E-8    1.4845521360862455E-8    1.0931958468023679E-8    3.642426933609183E-9
-0.18                     2.9152431614970914E-8    2.9134954401808165E-8    2.9112945486387246E-8    2.893957041991052E-8     2.8727792558838087E-8    2.7178750891020157E-8    2.550387015313017E-8     1.738387895996992E-8     1.2610266699295764E-8    4.082601894734182E-9
