% Model:              CV cnn.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2024, 17:34
% Dimension:          1
% Nodes:              281
% Expressions:        1
% Description:        Global
% R                       Value
-0.42                     8.341808331234753E-11
-0.415                    -7.020983313447125E-10
-0.41                     -4.053440966886672E-10
-0.40499999999999997      -1.626064484315522E-10
-0.39999999999999997      5.302623249902093E-12
-0.39499999999999996      8.751493175377218E-11
-0.38999999999999996      9.044771167090875E-11
-0.385                    9.338049159407568E-11
-0.38                     9.631327151629757E-11
-0.375                    9.906713582583676E-11
-0.37                     9.746557600917014E-11
-0.365                    9.586401618842125E-11
-0.36                     9.426245637131149E-11
-0.355                    9.266089654768076E-11
-0.35                     9.105933672802841E-11
-0.345                    8.945777690717795E-11
-0.33999999999999997      8.785621708654638E-11
-0.33499999999999996      8.625465726861104E-11
-0.33                     9.320445125763625E-11
-0.325                    1.9919978887596248E-10
-0.32                     3.051951264930152E-10
-0.315                    4.1119046410573567E-10
-0.31                     5.171858017262651E-10
-0.305                    6.231811393496242E-10
-0.3                      7.291764769609405E-10
-0.29500000000000004      8.351718145815486E-10
-0.29                     9.411671521956588E-10
-0.285                    1.0471624898128325E-9
-0.28                     1.1531578274331608E-9
-0.275                    1.2591531650531719E-9
-0.27                     1.365148502672147E-9
-0.265                    1.471143840289714E-9
-0.26                     1.5771391779117652E-9
-0.255                    1.683134515526064E-9
-0.24999999999999997      1.789129853147714E-9
-0.245                    1.89512519076361E-9
-0.24000000000000002      2.1580838561426226E-9
-0.235                    3.2481032336203794E-9
-0.23                     4.338122611098941E-9
-0.22499999999999998      5.428141988572869E-9
-0.22                     6.518161366051202E-9
-0.215                    8.357699983970836E-9
-0.21                     1.055073109696E-8
-0.20500000000000002      1.274376220994152E-8
-0.2                      1.6076091607316436E-8
-0.19500000000000003      1.9666249424035346E-8
-0.19                     2.32564072407601E-8
-0.18500000000000003      2.9292940554379464E-8
-0.17999999999999997      3.545445313709466E-8
-0.175                    4.3049015185162645E-8
-0.17000000000000004      5.304488393033505E-8
-0.16499999999999998      6.465969515775966E-8
-0.15999999999999998      7.913548899414684E-8
-0.15499999999999997      9.743604356769789E-8
-0.14999999999999997      1.1936170923987034E-7
-0.14500000000000002      1.4587395282729868E-7
-0.14                     1.7778966708334493E-7
-0.135                    2.173798782510493E-7
-0.13                     2.643003713625849E-7
-0.125                    3.2172051842707324E-7
-0.12                     3.910436389485826E-7
-0.11499999999999999      4.786452282562632E-7
-0.11000000000000004      5.817764465632596E-7
-0.10499999999999998      7.054828958473117E-7
-0.10000000000000003      8.541672249451095E-7
-0.09500000000000003      1.0326393735258123E-6
-0.09000000000000002      1.2465681850128645E-6
-0.08500000000000002      1.5024854468850687E-6
-0.07999999999999996      1.8078344976367127E-6
-0.07500000000000001      2.1709999846520587E-6
-0.07                     2.601271108525722E-6
-0.065                    3.1090948766354052E-6
-0.06000000000000005      3.7049721084541665E-6
-0.05499999999999999      4.3987872855876025E-6
-0.04999999999999999      5.200349397968158E-6
-0.04500000000000004      6.117963416432387E-6
-0.040000000000000036     7.157277299473611E-6
-0.03500000000000003      8.319882253612299E-6
-0.02999999999999997      9.601748277708211E-6
-0.025000000000000022     1.0991240668377148E-5
-0.020000000000000018     1.246719073424436E-5
-0.015000000000000069     1.3994724588666369E-5
-0.010000000000000009     1.556256599900593E-5
-0.0050000000000000044    1.711164181438965E-5
0                         1.85900419507721E-5
0.004999999999999949      1.9994884644764542E-5
0.009999999999999953      2.1196084875298096E-5
0.015000000000000013      2.225379238393631E-5
0.019999999999999962      2.3043067134057397E-5
0.024999999999999967      2.3610806237504634E-5
0.029999999999999916      2.3958902245801908E-5
0.03499999999999992       2.4087098954437548E-5
0.03999999999999998       2.4041408473168364E-5
0.044999999999999984      2.3814807117720392E-5
0.04999999999999993       2.3474815646638957E-5
0.05499999999999994       2.3017977079661923E-5
0.06000000000000005       2.250049780805714E-5
0.06500000000000006       2.1926851225976103E-5
0.07                      2.133121447785308E-5
0.07500000000000001       2.072276350025478E-5
0.0799999999999999        2.0117445441483236E-5
0.08500000000000002       1.9524577591096E-5
0.09000000000000002       1.8949314677905452E-5
0.09500000000000003       1.839842548215817E-5
0.10000000000000003       1.787212572876083E-5
0.10499999999999993       1.7373949878575062E-5
0.11000000000000004       1.6902556392387626E-5
0.11500000000000005       1.6458700169678157E-5
0.12000000000000005       1.604103330700588E-5
0.12499999999999994       1.5648362319383788E-5
0.12999999999999995       1.527985548580685E-5
0.13500000000000006       1.4933163327112129E-5
