% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 12 2022, 01:49
% Dimension:          1
% Nodes:              241
% Expressions:        1
% Description:        Global
% -E_time (V)             Value
-0.3                      9.999943466451758E-9
-0.295                    1.3197089721355104E-9
-0.29                     5.715191082158211E-9
-0.285                    5.351217099318484E-9
-0.27999999999999997      6.157907457447168E-9
-0.27499999999999997      7.330777695808492E-9
-0.27                     8.900896690322018E-9
-0.265                    1.0701656015458181E-8
-0.26                     1.284811172565265E-8
-0.255                    1.548290187830489E-8
-0.25                     1.8678010727935013E-8
-0.245                    2.2526021109306795E-8
-0.24                     2.716868034416339E-8
-0.235                    3.277089678263163E-8
-0.22999999999999998      3.951935835138799E-8
-0.22499999999999998      4.763855194117299E-8
-0.21999999999999997      5.742606056137859E-8
-0.215                    6.909783958506106E-8
-0.21                     8.31297836233567E-8
-0.20500000000000002      9.996069998406366E-8
-0.2                      1.2010922958098987E-7
-0.195                    1.4419809947383327E-7
-0.19                     1.729586015988431E-7
-0.185                    2.072470279235294E-7
-0.18                     2.480635839005586E-7
-0.175                    2.965728114494386E-7
-0.16999999999999998      3.541261711201734E-7
-0.16499999999999998      4.2228673828923404E-7
-0.16                     5.028559244875837E-7
-0.15499999999999997      5.979021159238915E-7
-0.15                     7.09791045791627E-7
-0.14500000000000002      8.412176352776117E-7
-0.13999999999999999      9.952389507372766E-7
-0.13499999999999998      1.1753078295939074E-6
-0.13                     1.3853066293553082E-6
-0.12500000000000003      1.6295804509725707E-6
-0.12                     1.912969082480976E-6
-0.11499999999999999      2.2408368014236132E-6
-0.11000000000000001      2.6190990634705477E-6
-0.10499999999999998      3.054244988017035E-6
-0.1                      3.5533544261147613E-6
-0.095                    4.124108257463343E-6
-0.09                     4.774790406305512E-6
-0.08500000000000002      5.514279885993391E-6
-0.07999999999999999      6.35203097368828E-6
-0.07500000000000001      7.298039378205771E-6
-0.06999999999999998      8.362792000714788E-6
-0.065                    9.557197593287098E-6
-0.06                     1.08924953249502E-5
-0.05499999999999999      1.2380137975120082E-5
-0.05000000000000002      1.4031646231759587E-5
-0.044999999999999984     1.5858430411963916E-5
-0.03999999999999998      1.7871575912867074E-5
-0.034999999999999976     2.0081588907241938E-5
-0.02999999999999997      2.249809930771508E-5
-0.025000000000000022     2.512951894600898E-5
-0.020000000000000018     2.798265434061459E-5
-0.015000000000000013     3.1062275486906374E-5
-0.009999999999999953     3.437064489161088E-5
-0.0050000000000000044    3.79070146672059E-5
0                         4.166710393454838E-5
0.0050000000000000044     4.5642573998071426E-5
0.009999999999999953      4.982052461951276E-5
0.015000000000000013      5.418304090130574E-5
0.020000000000000018      5.8706826331995075E-5
0.024999999999999967      6.336559162056752E-5
0.030000000000000027      6.81168936811597E-5
0.03500000000000003       7.293114970183706E-5
0.03999999999999998       7.775164661124985E-5
0.044999999999999984      8.253783886218143E-5
0.04999999999999993       8.723392196471724E-5
0.05499999999999999       9.178395660801307E-5
0.06                      9.613231574448518E-5
0.06500000000000006       1.0022457487503344E-4
0.07                      1.0400959828894042E-4
0.07500000000000001       1.0744157465886549E-4
0.07999999999999996       1.1048190762085148E-4
0.08499999999999996       1.1310086200627681E-4
0.09000000000000002       1.1527881625390021E-4
0.09499999999999997       1.1700700295500748E-4
0.09999999999999998       1.1828766193874447E-4
0.10499999999999998       1.1913358288690783E-4
0.10999999999999999       1.19567073938169E-4
0.11499999999999999       1.1961844982719638E-4
0.12                      1.193208639278406E-4
0.12499999999999994       1.1871752914935044E-4
0.12999999999999995       1.1785330932749416E-4
0.13500000000000006       1.1677138803242149E-4
0.14                      1.1551268866626381E-4
0.14500000000000002       1.1411559386237426E-4
0.14999999999999997       1.1261865343271089E-4
0.15499999999999997       1.1104034089520331E-4
0.16000000000000003       1.0942419040857362E-4
0.16499999999999998       1.0777947138007557E-4
0.16999999999999998       1.06130775062448E-4
0.175                     1.0449360186364477E-4
0.18                      1.0287900353873783E-4
0.185                     1.0129583141626531E-4
0.19                      9.975069122604816E-5
0.19499999999999995       9.824782257663029E-5
0.19999999999999996       9.679585253444176E-5
0.20500000000000002       9.538591478020517E-5
0.21000000000000002       9.402586929093734E-5
0.21500000000000002       9.271694452140382E-5
0.22000000000000003       9.145459698467179E-5
0.22500000000000003       9.023765063109067E-5
0.23000000000000004       8.906665246565113E-5
0.23500000000000004       8.794041011745408E-5
0.24000000000000005       8.68567885667147E-5
0.24499999999999994       8.581404890106617E-5
0.24999999999999994       8.481065508861222E-5
0.25500000000000006       8.384488517435908E-5
0.25999999999999995       8.291494203707772E-5
0.26499999999999996       8.20191126683235E-5
0.26999999999999996       8.115575383264201E-5
0.27499999999999997       8.032325693691514E-5
0.2800000000000001        7.952006447777618E-5
0.2850000000000001        7.874468887125391E-5
0.29                      7.799571183464788E-5
0.295                     7.727178113985184E-5
0.3                       7.657161205454123E-5
0.295                     7.52075342972125E-5
0.29                      7.414514917933772E-5
0.2850000000000001        7.319427265709309E-5
0.2800000000000001        7.227476360451892E-5
0.2750000000000001        7.137255668128906E-5
0.26999999999999996       7.04960348142861E-5
0.26499999999999996       6.963948164697097E-5
0.25999999999999995       6.879415038578285E-5
0.25500000000000006       6.795698436494064E-5
0.25000000000000006       6.712615739108403E-5
0.24499999999999994       6.629840343570629E-5
0.23999999999999994       6.547047418754212E-5
0.23499999999999993       6.463983651042225E-5
0.22999999999999993       6.380408869676016E-5
0.22500000000000003       6.296069166046287E-5
0.22000000000000003       6.210712459483691E-5
0.21500000000000002       6.124094106273672E-5
0.21000000000000002       6.0359698347046575E-5
0.20500000000000002       5.9460926167443475E-5
0.20000000000000012       5.854213951626928E-5
0.19499999999999995       5.7600842193488116E-5
0.19                      5.66345196907339E-5
0.185                     5.564063774438256E-5
0.18                      5.461664641354776E-5
0.17500000000000004       5.355998428623029E-5
0.16999999999999993       5.24680826109068E-5
0.16499999999999992       5.133837069421059E-5
0.15999999999999998       5.016828224675623E-5
0.15499999999999997       4.8955261865172594E-5
0.14999999999999997       4.769677131597681E-5
0.14500000000000002       4.639029539999467E-5
0.14                      4.503334701102759E-5
0.13500000000000006       4.362347097355985E-5
0.13000000000000006       4.215824633518553E-5
0.1250000000000001        4.063528686798786E-5
0.12                      3.9052239626103273E-5
0.11499999999999999       3.7406781548484974E-5
0.10999999999999999       3.569661428303131E-5
0.10500000000000004       3.391945763557503E-5
0.10000000000000003       3.207304229928293E-5
0.09499999999999992       3.015510280603445E-5
0.09000000000000008       2.816337194941078E-5
0.08499999999999996       2.609557823358679E-5
0.07999999999999996       2.394944822331125E-5
0.07500000000000001       2.172271596289407E-5
0.07                      1.94131418658398E-5
0.06500000000000006       1.7018543729924666E-5
0.06000000000000005       1.4536842625490409E-5
0.05499999999999994       1.196612649996164E-5
0.0500000000000001        9.304734215396662E-6
0.044999999999999984      6.551362635831103E-6
0.04000000000000015       3.7051988986870264E-6
0.03500000000000003       7.660793932834336E-7
0.029999999999999916      -2.265323762290788E-6
0.025000000000000022      -5.387287647065139E-6
0.019999999999999907      -8.596793657736633E-6
0.015000000000000069      -1.188932672305792E-5
0.009999999999999953      -1.5258497010528403E-5
0.0050000000000000044     -1.8695864472421808E-5
0                         -2.2190580289357147E-5
-0.0050000000000000044    -2.5729167175992346E-5
-0.009999999999999953     -2.929530398071148E-5
-0.014999999999999958     -3.2869689375525414E-5
-0.020000000000000073     -3.6429993246426925E-5
-0.02499999999999991      -3.995090518067925E-5
-0.030000000000000027     -4.340430306821996E-5
-0.034999999999999865     -4.6759604808869935E-5
-0.03999999999999998      -4.998430925907079E-5
-0.045000000000000095     -5.3041357192424174E-5
-0.04999999999999993      -5.590511723620783E-5
-0.05500000000000008      -5.853818486069481E-5
-0.06000000000000005      -6.090864064572827E-5
-0.06500000000000003      -6.298869427916495E-5
-0.07                     -6.475484096430348E-5
-0.07500000000000001      -6.618918154694015E-5
-0.07999999999999999      -6.728041293282622E-5
-0.0850000000000001       -6.802450493615906E-5
-0.08999999999999994      -6.842503795870586E-5
-0.09500000000000006      -6.849313951894696E-5
-0.0999999999999999       -6.82470038821907E-5
-0.10500000000000001      -6.771102250079425E-5
-0.11000000000000013      -6.691191901324048E-5
-0.11499999999999999      -6.588519968324528E-5
-0.1200000000000001       -6.466726922796086E-5
-0.12499999999999994      -6.329361679054829E-5
-0.13000000000000006      -6.180213878198944E-5
-0.13500000000000004      -6.02171218795216E-5
-0.14000000000000004      -5.8572968013573095E-5
-0.14500000000000002      -5.689643085236045E-5
-0.15                     -5.520978669005056E-5
-0.15499999999999997      -5.353188551583873E-5
-0.1600000000000001       -5.187797813178974E-5
-0.16499999999999995      -5.025994869931898E-5
-0.17000000000000007      -4.8686698948401395E-5
-0.1749999999999999       -4.716456023160405E-5
-0.18000000000000002      -4.56977107342353E-5
-0.18500000000000014      -4.4288572334324024E-5
-0.19                     -4.293817004836621E-5
-0.19500000000000012      -4.164644608499679E-5
-0.19999999999999996      -4.041252606999173E-5
-0.20500000000000007      -3.923493895831067E-5
-0.21000000000000005      -3.8111794811567326E-5
-0.21500000000000002      -3.704092591167533E-5
-0.22000000000000003      -3.6019996856833694E-5
-0.22499999999999998      -3.504658886067986E-5
-0.22999999999999998      -3.411826291068579E-5
-0.2350000000000001       -3.323282521888835E-5
-0.23999999999999994      -3.238868838163536E-5
-0.24500000000000005      -3.1581302035769186E-5
-0.2499999999999999       -3.081016398299942E-5
-0.255                    -3.0073401793199885E-5
-0.2600000000000001       -2.9368037814383227E-5
-0.26499999999999996      -2.8692202361583066E-5
-0.2700000000000001       -2.8044610384754308E-5
-0.27499999999999997      -2.7423677782490456E-5
-0.2800000000000001       -2.682774053306735E-5
-0.28500000000000003      -2.625536636939251E-5
-0.29000000000000004      -2.5705270962155164E-5
-0.295                    -2.517620862430353E-5
-0.3                      -2.4666996669481335E-5
