% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 7 2022, 01:50
% Dimension:          1
% Nodes:              241
% Expressions:        1
% Description:        Global
% -E_time (V)             Value
-0.3                      4.8835385829540156E-8
-0.295                    3.428465611944289E-9
-0.29                     5.313292187342424E-9
-0.285                    5.652532660347741E-9
-0.27999999999999997      6.4351576992107655E-9
-0.27499999999999997      7.587694050791791E-9
-0.27                     9.248114037629963E-9
-0.265                    1.1180412638884155E-8
-0.26                     1.3473593030323336E-8
-0.255                    1.6302656599478605E-8
-0.25                     1.9762200093463E-8
-0.245                    2.395805856720603E-8
-0.24                     2.905695654546058E-8
-0.235                    3.5260758858189386E-8
-0.22999999999999998      4.282522508541826E-8
-0.22499999999999998      5.193756472866107E-8
-0.21999999999999997      6.304354603344649E-8
-0.215                    7.654873853487765E-8
-0.21                     9.295585532234852E-8
-0.20500000000000002      1.1288787103105973E-7
-0.2                      1.3709987268970123E-7
-0.195                    1.6650834436494333E-7
-0.19                     2.022259508413405E-7
-0.185                    2.4560293080760834E-7
-0.18                     2.9827736305751376E-7
-0.175                    3.622359292782906E-7
-0.16999999999999998      4.3988722396152977E-7
-0.16499999999999998      5.341500848725575E-7
-0.16                     6.485598268901457E-7
-0.15499999999999997      7.873957222714353E-7
-0.15                     9.558335583022893E-7
-0.14500000000000002      1.1601275892293318E-6
-0.13999999999999999      1.4078266375409509E-6
-0.13499999999999998      1.7080294136234498E-6
-0.13                     2.0716841927194777E-6
-0.12500000000000003      2.51193763209432E-6
-0.12                     3.04453646072777E-6
-0.11499999999999999      3.688283641923367E-6
-0.11000000000000001      4.465546853857061E-6
-0.10499999999999998      5.4028110173599354E-6
-0.1                      6.531257159518741E-6
-0.095                    7.887335935927074E-6
-0.09                     9.513284259416905E-6
-0.08500000000000002      1.1457506299124167E-5
-0.07999999999999999      1.3774704575782402E-5
-0.07500000000000001      1.652560299897424E-5
-0.06999999999999998      1.9776053697706927E-5
-0.065                    2.3595269567339906E-5
-0.06                     2.8052886973204646E-5
-0.05499999999999999      3.3214558915072574E-5
-0.05000000000000002      3.9135838824767185E-5
-0.044999999999999984     4.5854277401732104E-5
-0.03999999999999998      5.337995697145996E-5
-0.034999999999999976     6.168514802412971E-5
-0.02999999999999997      7.069436120403085E-5
-0.025000000000000022     8.027667545554211E-5
-0.020000000000000018     9.024264293019597E-5
-0.015000000000000013     1.003480282102145E-4
-0.009999999999999953     1.1030588505400484E-4
-0.0050000000000000044    1.1980694293144363E-4
0                         1.2854623085622717E-4
0.0050000000000000044     1.362519172057266E-4
0.009999999999999953      1.427112535830107E-4
0.015000000000000013      1.4778882970129656E-4
0.020000000000000018      1.5143408479759157E-4
0.024999999999999967      1.5367758561863557E-4
0.030000000000000027      1.5461805427194154E-4
0.03500000000000003       1.5440372121880108E-4
0.03999999999999998       1.5321196102081457E-4
0.044999999999999984      1.5123051878085026E-4
0.04999999999999993       1.4864242872158684E-4
0.05499999999999999       1.4561546113136742E-4
0.06                      1.4229594383442963E-4
0.06500000000000006       1.3880621261168076E-4
0.07                      1.3524471712724525E-4
0.07500000000000001       1.3168783513303227E-4
0.07999999999999996       1.2819260997225292E-4
0.08499999999999996       1.247998334980537E-4
0.09000000000000002       1.2153709251019083E-4
0.09499999999999997       1.1842155572550398E-4
0.09999999999999998       1.1546239395431721E-4
0.10499999999999998       1.1266280283155678E-4
0.10999999999999999       1.1002164352357587E-4
0.11499999999999999       1.0753474105224708E-4
0.12                      1.0519588972465315E-4
0.12499999999999994       1.0299761627811014E-4
