% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 7 2022, 12:15
% Dimension:          1
% Nodes:              241
% Expressions:        1
% Description:        Global
% -E_time (V)             Value
-0.3                      4.691981387463002E-8
-0.295                    2.795386354681006E-9
-0.29                     5.354155609632476E-9
-0.285                    5.694054720237326E-9
-0.27999999999999997      6.435790166749777E-9
-0.27499999999999997      7.578658153920425E-9
-0.27                     9.242322056578629E-9
-0.265                    1.117202547586897E-8
-0.26                     1.345923224168894E-8
-0.255                    1.628329079920996E-8
-0.25                     1.9737146905319832E-8
-0.245                    2.3924574760765954E-8
-0.24                     2.901195194351261E-8
-0.235                    3.5200636018327955E-8
-0.22999999999999998      4.272173026762695E-8
-0.22499999999999998      5.188515800264733E-8
-0.21999999999999997      6.292138033280634E-8
-0.215                    7.63663129323276E-8
-0.21                     9.270869440713539E-8
-0.20500000000000002      1.1255378763453661E-7
-0.2                      1.366508249720458E-7
-0.195                    1.6590700391618092E-7
-0.19                     2.0142215505998647E-7
-0.185                    2.4452982595948126E-7
-0.18                     2.968460120271877E-7
-0.175                    3.603281292995141E-7
-0.16999999999999998      4.3734602434541677E-7
-0.16499999999999998      5.307672680899757E-7
-0.16                     6.440594089794548E-7
-0.15499999999999997      7.814122457335826E-7
-0.15                     9.47883587792466E-7
-0.14500000000000002      1.1495723624498762E-6
-0.13999999999999999      1.3938232498609847E-6
-0.13499999999999998      1.689467205404649E-6
-0.13                     2.0471021468413987E-6
-0.12500000000000003      2.4794175689676916E-6
-0.12                     3.0015656523675654E-6
-0.11499999999999999      3.6315792056698908E-6
-0.11000000000000001      4.390833043926536E-6
-0.10499999999999998      5.304539525523413E-6
-0.1                      6.402260141094303E-6
-0.095                    7.718402304008742E-6
-0.09                     9.292652773030645E-6
-0.08500000000000002      1.117027545858876E-5
-0.07999999999999999      1.3402171152772683E-5
-0.07500000000000001      1.6044560409171303E-5
-0.06999999999999998      1.9158110752101346E-5
-0.065                    2.2806291216411644E-5
-0.06                     2.7052711353148008E-5
-0.05499999999999999      3.195720503548378E-5
-0.05000000000000002      3.757047520431926E-5
-0.044999999999999984     4.3927252371652224E-5
-0.03999999999999998      5.1038163547900423E-5
-0.034999999999999976     5.8880870382004614E-5
